BDAP,Comune,Provincia,Regione,Zona,2008,2009,2010,2011,2012,2013,2014,2015
111142930451558302,COMUNE DI VERMIGLIO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST,1070612.0,2473342.0,1476465.0,2466607.0,1901048.7,2685535.54,2081212.01,3271310.98
111142930456078402,COMUNE DI NARBOLIA,ORISTANO,SARDEGNA,ISOLE,450333.0,1103235.0,250023.0,722821.0,649840.66,689181.27,903141.08,3213586.99
111142930549694901,COMUNE DI RESANA,TREVISO,VENETO,NORD-EST,1246776.0,863903.0,1336860.0,839125.0,1500669.89,593331.2100000001,338526.81,492996.54
111242928159168602,COMUNE DI ALDINO,BOLZANO/BOZEN,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST,1099674.0,1684613.0,883629.0,1201179.0,1610662.73,1767139.45,798352.25,1490595.3399999999
111342928035516202,COMUNE DI AUGUSTA,SIRACUSA,SICILIA,ISOLE,2372622.0,1492616.0,798744.0,942872.0,953449.63,1052907.18,1581970.25,611153.64
111442929417157902,COMUNE DI CREMOLINO,ALESSANDRIA,PIEMONTE,NORD-OVEST,180048.0,272767.0,0.0,294667.0,55101.39,129482.94,57184.270000000004,40191.85
111642930521380602,COMUNE DI CASTEL BARONIA,AVELLINO,CAMPANIA,SUD,2871007.0,1471156.0,391888.0,1128001.0,880283.1100000001,1213416.4300000002,1536290.01,2922500.38
111742930520228201,COMUNE DI TAURIANOVA,REGGIO DI CALABRIA,CALABRIA,SUD,737499.0,2444841.0,1219896.0,265836.0,268184.86,372277.93,699446.4,1313278.98
111742930546032201,COMUNE DI SAN NAZZARO VAL CAVARGNA,COMO,LOMBARDIA,NORD-OVEST,167208.0,209630.0,344507.0,292576.0,135518.65,220553.04,192412.33000000002,94074.29000000001
111842930472913601,COMUNE DI RONCHI DEI LEGIONARI,GORIZIA,FRIULI-VENEZIA GIULIA,NORD-EST,974274.0,998689.0,473313.0,1903563.0,3248354.93,946569.22,867938.16,903919.4400000001
111942930075789802,COMUNE DI FARINI,PIACENZA,EMILIA-ROMAGNA,NORD-EST,243999.0,327644.0,411510.0,193202.0,165153.05,107351.06,98112.26000000001,144650.47999999998
111942930475464201,COMUNE DI ROVERBELLA,MANTOVA,LOMBARDIA,NORD-OVEST,1174606.0,636077.0,483616.0,382117.0,690219.9299999999,106753.72,166560.97,308909.31
112242929589459502,COMUNE DI ROMAGNANO AL MONTE,SALERNO,CAMPANIA,SUD,3702167.0,405626.0,599547.0,986063.0,129473.54,172717.92,29752.26,1113734.03
112442930475351402,COMUNE DI MARTINA FRANCA,TARANTO,PUGLIA,SUD,2513613.0,4569821.0,1232061.0,2065493.0,1703184.87,3285532.61,4569771.83,2834285.57
112442930547500901,COMUNE DI SAN BENEDETTO IN PERILLIS,L'AQUILA,ABRUZZO,SUD,255417.0,361169.0,99268.0,81395.0,230277.22999999998,636748.26,1090795.5799999998,123494.71
112542930549591602,COMUNE DI PIETRAROJA,BENEVENTO,CAMPANIA,SUD,884296.0,619382.0,665755.0,1100799.0,1179379.3900000001,418570.74,906441.82,1962508.62
112642930518447902,COMUNE DI CISANO SUL NEVA,SAVONA,LIGURIA,NORD-OVEST,742594.0,273917.0,364662.0,416218.0,236441.49000000002,86797.95999999999,93723.67,44854.34
