BDAP,Comune,Provincia,Regione,Zona,2008,2009,2010,2011,2012,2013,2014,2015
111142930451558302,COMUNE DI VERMIGLIO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST,2515562.0,2867849.0,2632290.0,2640213.0,2373789.11,2609471.56,2589659.52,2649435.81
111142930456078402,COMUNE DI NARBOLIA,ORISTANO,SARDEGNA,ISOLE,167569.0,260726.0,131506.0,359861.0,121497.49,247414.52000000005,208554.94,187387.41
111142930549694901,COMUNE DI RESANA,TREVISO,VENETO,NORD-EST,629923.0,577542.0,623702.0,734935.0,642388.57,757669.51,722864.02,734404.85
111242928159168602,COMUNE DI ALDINO,BOLZANO/BOZEN,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST,588965.0,835080.0,698145.0,765781.0,856335.9299999999,1113782.1900000002,851105.65,974151.5800000001
111342928035516202,COMUNE DI AUGUSTA,SIRACUSA,SICILIA,ISOLE,5285157.0,1918906.0,2058434.0,1464685.0,1015980.5,2716368.65,3721953.86,2065100.68
111442929417157902,COMUNE DI CREMOLINO,ALESSANDRIA,PIEMONTE,NORD-OVEST,142877.0,49732.0,0.0,60876.0,45139.41,18494.95,45123.33,84425.49
111642930521380602,COMUNE DI CASTEL BARONIA,AVELLINO,CAMPANIA,SUD,75042.0,60514.0,71943.0,79170.0,84882.61,75303.66,47860.14,72339.72
111742930520228201,COMUNE DI TAURIANOVA,REGGIO DI CALABRIA,CALABRIA,SUD,1106932.0,1030054.0,666557.0,406119.0,827577.42,993818.56,307281.56,651981.4299999999
111742930546032201,COMUNE DI SAN NAZZARO VAL CAVARGNA,COMO,LOMBARDIA,NORD-OVEST,91708.0,79550.0,77018.0,59783.0,43351.78,75987.62000000001,38041.31,24275.510000000002
111842930472913601,COMUNE DI RONCHI DEI LEGIONARI,GORIZIA,FRIULI-VENEZIA GIULIA,NORD-EST,1573769.0,1892839.0,2244872.0,3745978.0,3411216.2399999998,4164660.0100000002,3439706.77,3351516.73
111942930075789802,COMUNE DI FARINI,PIACENZA,EMILIA-ROMAGNA,NORD-EST,161041.0,199116.0,207702.0,139263.0,152193.93,159499.06,149582.63,200098.2
111942930475464201,COMUNE DI ROVERBELLA,MANTOVA,LOMBARDIA,NORD-OVEST,994192.0,1405481.0,821217.0,1016006.0,873529.48,899127.9,933708.16,947528.23
112242929589459502,COMUNE DI ROMAGNANO AL MONTE,SALERNO,CAMPANIA,SUD,102320.0,78993.0,83214.0,87468.0,95821.42,87901.23,113741.48,77465.17000000001
112442930475351402,COMUNE DI MARTINA FRANCA,TARANTO,PUGLIA,SUD,1448712.0,1392663.0,1573779.0,874803.0,1415732.71,1357632.85,1615857.68,3120224.59
112442930547500901,COMUNE DI SAN BENEDETTO IN PERILLIS,L'AQUILA,ABRUZZO,SUD,35959.0,137413.0,60164.0,155975.0,39843.8,41441.68,66649.66,113662.54999999999
112542930549591602,COMUNE DI PIETRAROJA,BENEVENTO,CAMPANIA,SUD,126554.0,144453.0,181613.0,143216.0,155292.83,141934.65,136829.16999999998,158546.36
112642930518447902,COMUNE DI CISANO SUL NEVA,SAVONA,LIGURIA,NORD-OVEST,229441.0,252568.0,235231.0,283294.0,282199.73,281485.18,253047.27,170519.7
112642930527384301,COMUNE DI VILLAPERUCCIO,SUD SARDEGNA,SARDEGNA,ISOLE,73731.0,109486.0,56292.0,66510.0,60556.29,59569.270000000004,72029.83,50851.600000000006
