BDAP,Comune,Provincia,Regione,Zona,2008,2009,2010,2011,2012,2013,2014,2015
111142930451558302,COMUNE DI VERMIGLIO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111142930456078402,COMUNE DI NARBOLIA,ORISTANO,SARDEGNA,ISOLE,9955156.0,11903978.0,12453532.0,12622265.0,12940635.6,13011094.59,12196334.24,12265598.860000001
111142930549694901,COMUNE DI RESANA,TREVISO,VENETO,NORD-EST,18760554.0,20364008.0,21071590.0,21263945.0,21808816.88,21644990.18,21434426.69,21074331.22
111242928159168602,COMUNE DI ALDINO,BOLZANO/BOZEN,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST,15272086.0,16383056.0,16521671.0,16990918.0,17867133.86,17266637.75,17558018.88,18167377.310000002
111342928035516202,COMUNE DI AUGUSTA,SIRACUSA,SICILIA,ISOLE,43385078.0,43270452.0,100023899.0,58165181.0,57977543.519999996,54758852.7,54111895.309999995,52605077.54
111442929417157902,COMUNE DI CREMOLINO,ALESSANDRIA,PIEMONTE,NORD-OVEST,741677.0,741677.0,0.0,2196110.0,0.0,2296857.41,0.0,0.0
111642930521380602,COMUNE DI CASTEL BARONIA,AVELLINO,CAMPANIA,SUD,19338206.0,20120353.0,25284277.0,25178579.0,26037390.8,26900377.32,29770565.92,32142845.61
111742930520228201,COMUNE DI TAURIANOVA,REGGIO DI CALABRIA,CALABRIA,SUD,32677610.0,33346282.0,33595720.0,33412279.0,35411522.28,36703474.84,38869508.89,40527728.37
111742930546032201,COMUNE DI SAN NAZZARO VAL CAVARGNA,COMO,LOMBARDIA,NORD-OVEST,3375373.0,3386991.0,3758081.0,4030889.0,4023603.66,4191471.73,4248971.98,4156686.0199999996
111842930472913601,COMUNE DI RONCHI DEI LEGIONARI,GORIZIA,FRIULI-VENEZIA GIULIA,NORD-EST,32530906.0,32664335.0,34338544.0,34523092.0,36679298.15,37181507.93,37291998.44,38759396.21
111942930075789802,COMUNE DI FARINI,PIACENZA,EMILIA-ROMAGNA,NORD-EST,6281422.0,6684896.0,6850037.0,7026207.0,7423673.029999999,7288139.42,7279595.63,7482401.21
111942930475464201,COMUNE DI ROVERBELLA,MANTOVA,LOMBARDIA,NORD-OVEST,16987160.0,17317219.0,17223216.0,16965295.0,16892886.47,16854881.31,16442770.42,16008931.27
112242929589459502,COMUNE DI ROMAGNANO AL MONTE,SALERNO,CAMPANIA,SUD,9100725.0,10421098.0,10890629.0,11495919.0,12325642.07,12461013.18,12764124.41,13472264.59
112442930475351402,COMUNE DI MARTINA FRANCA,TARANTO,PUGLIA,SUD,61785711.0,55670852.0,55585862.0,58860818.0,59960928.35,62021533.70999999,64058257.69,69028334.47
112442930547500901,COMUNE DI SAN BENEDETTO IN PERILLIS,L'AQUILA,ABRUZZO,SUD,2179158.0,2711859.0,2802509.0,3177810.0,3177810.57,2325837.08,2325837.08,2325837.08
112542930549591602,COMUNE DI PIETRAROJA,BENEVENTO,CAMPANIA,SUD,7294750.0,7672385.0,26257776.0,27025679.0,27980902.89,32780634.209999997,32645956.22,34622173.98
112642930518447902,COMUNE DI CISANO SUL NEVA,SAVONA,LIGURIA,NORD-OVEST,7979990.0,8749522.0,9066782.0,9744107.0,10855205.549999999,10590826.129999999,10386957.319999998,10095839.43
112642930527384301,COMUNE DI VILLAPERUCCIO,SUD SARDEGNA,SARDEGNA,ISOLE,9238485.0,7400920.0,7773039.0,8143322.0,8560127.76,9482659.32,10190503.93,10136482.370000001
112942930456488402,COMUNE DI MONTAPPONE,FERMO,MARCHE,CENTRO,9691935.0,9662780.0,9774306.0,9733566.0,9932797.51,10052140.120000001,9997566.01,9930869.72
112942930511152602,COMUNE DI AVERSA,CASERTA,CAMPANIA,SUD,119165628.0,121115982.0,121948553.0,121441452.0,136799919.63,135925082.77,132890907.7,133928103.39
112942930520095401,COMUNE DI GRESSONEY-LA-TRINITE',VALLE D'AOSTA/VALLÉE D'AOSTE,VALLE D'AOSTA/VALLÉE D'AOSTE,NORD-OVEST,6687395.0,6595412.0,5225251.0,5997879.0,6323956.92,6479917.76,7699473.7299999995,9284868.25
112942930526084102,COMUNE DI SALTRIO,VARESE,LOMBARDIA,NORD-OVEST,7347508.0,8080688.0,8587916.0,8925931.0,10426437.23,10776980.45,10988746.629999999,11420451.44
112942930546542602,COMUNE DI SAN MARTINO SULLA MARRUCINA,CHIETI,ABRUZZO,SUD,6637375.0,7710715.0,8129413.0,8649573.0,8595347.1,9005705.030000001,9288958.24,9288958.24
113042930446652901,COMUNE DI GHEMME,NOVARA,PIEMONTE,NORD-OVEST,12504257.0,11818258.0,12392704.0,14391103.0,14925391.45,14709028.97,14396525.2,13844898.4
113042930459198201,COMUNE DI STIENTA,ROVIGO,VENETO,NORD-EST,6448041.0,7457557.0,8123328.0,7929387.0,8542897.26,8561704.42,8693781.459999999,8700125.48
113242929494046101,COMUNE DI BELVEDERE DI SPINELLO,CROTONE,CALABRIA,SUD,4599644.0,4599643.0,4593925.0,4569040.0,4935667.96,5189768.449999999,5182807.93,5942551.35
