BDAP,Comune,Provincia,Regione,Zona,2008,2009,2010,2011,2012,2013,2014,2015
111142930451558302,COMUNE DI VERMIGLIO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111142930456078402,COMUNE DI NARBOLIA,ORISTANO,SARDEGNA,ISOLE,0.0,0.0,0.0,0.0,0.0,0.0,1870233.75,1688101.45
111142930549694901,COMUNE DI RESANA,TREVISO,VENETO,NORD-EST,689304.0,413419.0,168949.0,286253.0,690927.11,438497.97,280987.31,376147.37
111242928159168602,COMUNE DI ALDINO,BOLZANO/BOZEN,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST,3117.0,102342.0,75204.0,54795.0,1808.97,49380.36,23709.5,919462.3300000001
111342928035516202,COMUNE DI AUGUSTA,SIRACUSA,SICILIA,ISOLE,3023699.0,2209310.0,8061829.0,728949.0,592470.34,449677.6,8224143.16,36701694.47
111442929417157902,COMUNE DI CREMOLINO,ALESSANDRIA,PIEMONTE,NORD-OVEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111642930521380602,COMUNE DI CASTEL BARONIA,AVELLINO,CAMPANIA,SUD,0.0,0.0,4887.0,18485.0,60311.53999999999,0.0,582194.79,115106.89
111742930520228201,COMUNE DI TAURIANOVA,REGGIO DI CALABRIA,CALABRIA,SUD,3699405.0,634879.0,333695.0,90834.0,1758456.53,556929.89,265701.73,10571029.15
111742930546032201,COMUNE DI SAN NAZZARO VAL CAVARGNA,COMO,LOMBARDIA,NORD-OVEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111842930472913601,COMUNE DI RONCHI DEI LEGIONARI,GORIZIA,FRIULI-VENEZIA GIULIA,NORD-EST,1930626.0,369013.0,36327.0,413675.0,389822.13,334209.35,780109.65,1067546.35
111942930075789802,COMUNE DI FARINI,PIACENZA,EMILIA-ROMAGNA,NORD-EST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111942930475464201,COMUNE DI ROVERBELLA,MANTOVA,LOMBARDIA,NORD-OVEST,415019.0,590576.0,52917.0,99035.0,71300.87,70605.15,82386.43000000001,114192.17
112242929589459502,COMUNE DI ROMAGNANO AL MONTE,SALERNO,CAMPANIA,SUD,0.0,0.0,0.0,0.0,0.0,0.0,152284.91,0.0
112442930475351402,COMUNE DI MARTINA FRANCA,TARANTO,PUGLIA,SUD,921496.0,1863757.0,1675370.0,2028572.0,1482344.85,1049459.75,7484420.24,7848749.21
112442930547500901,COMUNE DI SAN BENEDETTO IN PERILLIS,L'AQUILA,ABRUZZO,SUD,0.0,0.0,0.0,0.0,122874.31,63361.659999999996,64547.44,0.0
112542930549591602,COMUNE DI PIETRAROJA,BENEVENTO,CAMPANIA,SUD,1837.0,2332.0,10423704.0,2201.0,26808.89,2116346.1799999997,5523.219999999999,6071.84
112642930518447902,COMUNE DI CISANO SUL NEVA,SAVONA,LIGURIA,NORD-OVEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112642930527384301,COMUNE DI VILLAPERUCCIO,SUD SARDEGNA,SARDEGNA,ISOLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112942930456488402,COMUNE DI MONTAPPONE,FERMO,MARCHE,CENTRO,0.0,0.0,209359.0,203882.0,292298.25,5022.87,3087.99,0.0
112942930511152602,COMUNE DI AVERSA,CASERTA,CAMPANIA,SUD,799457.0,602748.0,1279665.0,1294588.0,2522075.52,1090968.23,1163451.88,19885656.26
112942930520095401,COMUNE DI GRESSONEY-LA-TRINITE',VALLE D'AOSTA/VALLÉE D'AOSTE,VALLE D'AOSTA/VALLÉE D'AOSTE,NORD-OVEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112942930526084102,COMUNE DI SALTRIO,VARESE,LOMBARDIA,NORD-OVEST,0.0,129595.0,213118.0,60601.0,763739.49,39895.95,42924.92,95943.78
112942930546542602,COMUNE DI SAN MARTINO SULLA MARRUCINA,CHIETI,ABRUZZO,SUD,0.0,0.0,0.0,0.0,458.42,9360.46,139118.41,20277.52
113042930446652901,COMUNE DI GHEMME,NOVARA,PIEMONTE,NORD-OVEST,188667.0,89761.0,3147607.0,1881911.0,233584.94999999998,556697.1599999999,1532245.6400000001,1854255.57
113042930459198201,COMUNE DI STIENTA,ROVIGO,VENETO,NORD-EST,71101.0,95672.0,37603.0,73614.0,274524.25,57534.26,126848.07,281619.91
113242929494046101,COMUNE DI BELVEDERE DI SPINELLO,CROTONE,CALABRIA,SUD,39558.0,11.0,135424.0,138518.0,127158.93,92341.90000000001,150415.97,219395.65000000002
