BDAP,Comune,Provincia,Regione,Zona,2008,2009,2010,2011,2012,2013,2014,2015
111142930451558302,COMUNE DI VERMIGLIO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST,1980845.0,4062169.0,3519774.0,4548381.0,4000592.04,1512011.21,2909046.58,2597455.68
111142930456078402,COMUNE DI NARBOLIA,ORISTANO,SARDEGNA,ISOLE,501695.0,1044832.0,958896.0,1844726.0,707186.51,209275.16,854337.06,2871011.31
111142930549694901,COMUNE DI RESANA,TREVISO,VENETO,NORD-EST,856617.0,830878.0,1112003.0,1374820.0,1034440.91,187741.74,184581.51,1474503.43
111242928159168602,COMUNE DI ALDINO,BOLZANO/BOZEN,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST,2571431.0,1394505.0,3181702.0,841475.0,1903897.3199999998,2563261.45,1049419.58,771428.38
111342928035516202,COMUNE DI AUGUSTA,SIRACUSA,SICILIA,ISOLE,2770360.0,5611905.0,1899106.0,1962588.0,1018447.36,2096012.7200000002,1711854.4300000002,437286.67
111442929417157902,COMUNE DI CREMOLINO,ALESSANDRIA,PIEMONTE,NORD-OVEST,709526.0,599613.0,0.0,55533.0,205627.03,95230.58,81428.77,943.0
111642930521380602,COMUNE DI CASTEL BARONIA,AVELLINO,CAMPANIA,SUD,2182364.0,850443.0,5086524.0,56233.0,33285.14,1214096.78,2906392.4,4130367.1
111742930520228201,COMUNE DI TAURIANOVA,REGGIO DI CALABRIA,CALABRIA,SUD,1068356.0,2960507.0,2881064.0,982924.0,394075.39,1832662.6,1150798.69,1074348.38
111742930546032201,COMUNE DI SAN NAZZARO VAL CAVARGNA,COMO,LOMBARDIA,NORD-OVEST,785250.0,100418.0,333590.0,137235.0,184284.25,186123.38,105397.5,48908.32
111842930472913601,COMUNE DI RONCHI DEI LEGIONARI,GORIZIA,FRIULI-VENEZIA GIULIA,NORD-EST,2216541.0,3044525.0,3678132.0,4735674.0,3156763.4499999997,162167.53999999998,761436.1599999999,2351410.02
111942930075789802,COMUNE DI FARINI,PIACENZA,EMILIA-ROMAGNA,NORD-EST,315413.0,457192.0,713140.0,341607.0,205390.04,159978.12,184206.15999999997,564411.31
111942930475464201,COMUNE DI ROVERBELLA,MANTOVA,LOMBARDIA,NORD-OVEST,2001584.0,422761.0,831006.0,367877.0,1550059.95,79267.28,208980.06,653943.22
112242929589459502,COMUNE DI ROMAGNANO AL MONTE,SALERNO,CAMPANIA,SUD,493281.0,421369.0,564229.0,2484726.0,168715.05,140762.82,2512747.05,547978.89
112442930475351402,COMUNE DI MARTINA FRANCA,TARANTO,PUGLIA,SUD,5790593.0,5485456.0,4528029.0,4742671.0,5981990.55,9607731.15,3787503.72,3969770.8400000003
112442930547500901,COMUNE DI SAN BENEDETTO IN PERILLIS,L'AQUILA,ABRUZZO,SUD,150812.0,467754.0,174167.0,1383410.0,36881.58,418055.56,1048767.2,209441.0
112542930549591602,COMUNE DI PIETRAROJA,BENEVENTO,CAMPANIA,SUD,524890.0,1240438.0,3058752.0,728522.0,246351.99,254889.61,245127.8,2023876.7100000002
112642930518447902,COMUNE DI CISANO SUL NEVA,SAVONA,LIGURIA,NORD-OVEST,1073685.0,1297157.0,629497.0,267461.0,291800.0,48775.0,67000.0,3954.32
112642930527384301,COMUNE DI VILLAPERUCCIO,SUD SARDEGNA,SARDEGNA,ISOLE,502253.0,1013626.0,1292975.0,556798.0,1522519.21,335508.93,313271.5,42781.85
112942930456488402,COMUNE DI MONTAPPONE,FERMO,MARCHE,CENTRO,496207.0,386501.0,440010.0,526823.0,228108.5,429376.98,5000.0,15000.0
112942930511152602,COMUNE DI AVERSA,CASERTA,CAMPANIA,SUD,2930740.0,1896841.0,7742428.0,23268431.0,829401.4299999999,1289432.4300000002,2856012.69,26179046.16
112942930520095401,COMUNE DI GRESSONEY-LA-TRINITE',VALLE D'AOSTA/VALLÉE D'AOSTE,VALLE D'AOSTA/VALLÉE D'AOSTE,NORD-OVEST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112942930526084102,COMUNE DI SALTRIO,VARESE,LOMBARDIA,NORD-OVEST,485733.0,704500.0,641166.0,526154.0,881649.09,887806.31,480636.46,754087.7000000001
