BDAP,Comune,Provincia,Regione,Zona,2008,2009,2010,2011,2012,2013,2014,2015
111142930451558302,COMUNE DI VERMIGLIO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST,323145.0,381094.0,387677.0,370483.0,399694.34,365239.9,606133.92,760968.57
111142930456078402,COMUNE DI NARBOLIA,ORISTANO,SARDEGNA,ISOLE,172514.0,208051.0,240744.0,194600.0,207785.3,199255.45,208009.54,596156.65
111142930549694901,COMUNE DI RESANA,TREVISO,VENETO,NORD-EST,372791.0,486034.0,480263.0,400766.0,363458.32,352000.78,556093.82,275191.49
111242928159168602,COMUNE DI ALDINO,BOLZANO/BOZEN,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST,250345.0,264316.0,235534.0,376715.0,566096.7,370012.74,413816.9,555765.66
111342928035516202,COMUNE DI AUGUSTA,SIRACUSA,SICILIA,ISOLE,4035897.0,4387616.0,3491090.0,3142998.0,3118665.47,2712254.14,2368329.24,15399226.26
111442929417157902,COMUNE DI CREMOLINO,ALESSANDRIA,PIEMONTE,NORD-OVEST,98920.0,78443.0,0.0,94607.0,522325.8,216606.88,211656.18,58761.6
111642930521380602,COMUNE DI CASTEL BARONIA,AVELLINO,CAMPANIA,SUD,234954.0,106184.0,143264.0,138738.0,548064.01,782338.55,247459.0,448654.77
111742930520228201,COMUNE DI TAURIANOVA,REGGIO DI CALABRIA,CALABRIA,SUD,2939792.0,1829476.0,1151005.0,1148254.0,1127623.63,899750.39,924763.38,15993316.05
111742930546032201,COMUNE DI SAN NAZZARO VAL CAVARGNA,COMO,LOMBARDIA,NORD-OVEST,29772.0,30466.0,35353.0,28938.0,20995.79,21332.68,21298.09,39261.88
111842930472913601,COMUNE DI RONCHI DEI LEGIONARI,GORIZIA,FRIULI-VENEZIA GIULIA,NORD-EST,2285203.0,1511727.0,1324526.0,1329706.0,1146396.02,1124109.86,938867.11,1501389.26
111942930075789802,COMUNE DI FARINI,PIACENZA,EMILIA-ROMAGNA,NORD-EST,138105.0,133058.0,121140.0,124167.0,114810.98,112471.14,111873.49,219757.11
111942930475464201,COMUNE DI ROVERBELLA,MANTOVA,LOMBARDIA,NORD-OVEST,467607.0,519728.0,428716.0,517600.0,378465.48,362980.02,333075.15,289771.58
112242929589459502,COMUNE DI ROMAGNANO AL MONTE,SALERNO,CAMPANIA,SUD,99698.0,125409.0,73700.0,140843.0,92114.73,149511.28,50271.7,118177.98
112442930475351402,COMUNE DI MARTINA FRANCA,TARANTO,PUGLIA,SUD,6887462.0,4532542.0,3171366.0,2116855.0,2252990.62,2266916.43,2174385.37,12933689.59
112442930547500901,COMUNE DI SAN BENEDETTO IN PERILLIS,L'AQUILA,ABRUZZO,SUD,83295.0,37115.0,37386.0,81018.0,46902.42,31747.25,30945.31,55272.28
112542930549591602,COMUNE DI PIETRAROJA,BENEVENTO,CAMPANIA,SUD,130333.0,106275.0,111368.0,146168.0,120357.43,115921.23,107820.41,336310.13
112642930518447902,COMUNE DI CISANO SUL NEVA,SAVONA,LIGURIA,NORD-OVEST,154706.0,153230.0,125642.0,129876.0,106845.53,133911.9,110924.16,204934.34
112642930527384301,COMUNE DI VILLAPERUCCIO,SUD SARDEGNA,SARDEGNA,ISOLE,137969.0,124454.0,107128.0,135458.0,143928.9,96039.43,113608.84,175299.35
112942930456488402,COMUNE DI MONTAPPONE,FERMO,MARCHE,CENTRO,190608.0,155803.0,143240.0,198596.0,144397.3,140197.69,113461.18,317753.89
112942930511152602,COMUNE DI AVERSA,CASERTA,CAMPANIA,SUD,3300879.0,3256690.0,3278113.0,3921445.0,3052308.64,2948948.34,2875593.38,61737673.31
112942930520095401,COMUNE DI GRESSONEY-LA-TRINITE',VALLE D'AOSTA/VALLÉE D'AOSTE,VALLE D'AOSTA/VALLÉE D'AOSTE,NORD-OVEST,187116.0,146936.0,163351.0,201812.0,192579.95,188779.31,199553.0,404980.24
112942930526084102,COMUNE DI SALTRIO,VARESE,LOMBARDIA,NORD-OVEST,173990.0,626703.0,1085203.0,1132687.0,1427340.38,146356.86,148914.26,279335.18
112942930546542602,COMUNE DI SAN MARTINO SULLA MARRUCINA,CHIETI,ABRUZZO,SUD,122115.0,134705.0,86686.0,116458.0,68773.9,103764.11,104395.8,148235.75
113042930446652901,COMUNE DI GHEMME,NOVARA,PIEMONTE,NORD-OVEST,391727.0,443655.0,533248.0,536121.0,475512.59,391219.93,337478.11,547608.36
113042930459198201,COMUNE DI STIENTA,ROVIGO,VENETO,NORD-EST,207009.0,174905.0,176710.0,182700.0,179876.69,180907.21,145231.31,269382.65
113242929494046101,COMUNE DI BELVEDERE DI SPINELLO,CROTONE,CALABRIA,SUD,221452.0,399204.0,188876.0,175007.0,165869.29,491517.37,140504.5,262831.75
113242929989809401,COMUNE DI CIRIGLIANO,MATERA,BASILICATA,SUD,77417.0,68987.0,66051.0,64258.0,72505.97,81051.49,69642.7,319878.06
113242930525412901,COMUNE DI POLIA,VIBO VALENTIA,CALABRIA,SUD,108962.0,122283.0,156906.0,175122.0,133322.54,136984.98,456335.36,363166.03
113342930540408502,COMUNE DI MORNAGO,VARESE,LOMBARDIA,NORD-OVEST,344272.0,275225.0,268379.0,275189.0,244831.86,197474.65,335981.81,378854.93
113442928800667002,COMUNE DI COLICO,LECCO,LOMBARDIA,NORD-OVEST,506129.0,585830.0,416407.0,476248.0,439866.54,402900.55,415363.17,625209.09
113642930452986502,COMUNE DI TORREGLIA,PADOVA,VENETO,NORD-EST,338850.0,335339.0,328098.0,401879.0,432819.24,297092.59,285452.82,413348.2
113742928592687902,COMUNE DI BORGHETTO LODIGIANO,LODI,LOMBARDIA,NORD-OVEST,248549.0,228498.0,209905.0,233195.0,210624.56,203368.65,183170.7,316867.83
113842930528713802,COMUNE DI ROCCA SANTA MARIA,TERAMO,ABRUZZO,SUD,147380.0,125822.0,91458.0,114907.0,85019.82,90129.96,90983.44,499256.3
113942930453012402,COMUNE DI RICIGLIANO,SALERNO,CAMPANIA,SUD,229186.0,224115.0,221641.0,256622.0,221012.44,240795.87,197759.59,2725345.13
113942930543093902,COMUNE DI LATISANA,UDINE,FRIULI-VENEZIA GIULIA,NORD-EST,3373174.0,2655354.0,2454477.0,1427919.0,1256634.15,1302621.66,1178007.79,1601554.99
114042930544217902,COMUNE DI SAN DAMIANO MACRA,CUNEO,PIEMONTE,NORD-OVEST,70382.0,69738.0,70921.0,105513.0,79369.61,58028.04,54532.46,118968.91
114242930474451702,COMUNE DI ORIO AL SERIO,BERGAMO,LOMBARDIA,NORD-OVEST,315299.0,291131.0,301455.0,271855.0,291221.83,284976.76,306246.87,531966.7
114342930531636602,COMUNE DI SAN DIDERO,TORINO,PIEMONTE,NORD-OVEST,36408.0,38813.0,41054.0,45113.0,36978.62,38859.43,32663.56,51168.15
114442930473232502,COMUNE DI NOASCA,TORINO,PIEMONTE,NORD-OVEST,92360.0,116581.0,75431.0,110151.0,94852.97,95004.24,115313.13,0.0
114542930460128001,COMUNE DI RIGNANO GARGANICO,FOGGIA,PUGLIA,SUD,385496.0,581067.0,263281.0,214899.0,239566.59,206224.57,261505.45,621303.37
114642930550556102,COMUNE DI SAN GREGORIO DI CATANIA,CATANIA,SICILIA,ISOLE,1668873.0,1033250.0,1325564.0,2613571.0,2371296.55,747265.52,963946.09,986016.11
114742930453726801,COMUNE DI SALE SAN GIOVANNI,CUNEO,PIEMONTE,NORD-OVEST,41576.0,51671.0,34676.0,39083.0,24287.64,29416.09,27295.22,42358.37
114742930536446301,COMUNE DI ROTONDELLA,MATERA,BASILICATA,SUD,444525.0,407697.0,419479.0,421342.0,391376.76,389025.87,340465.7,1638435.73
114842930517178501,COMUNE DI CITTADUCALE,RIETI,LAZIO,CENTRO,938764.0,680382.0,725684.0,746471.0,766265.08,762212.42,601079.53,4649145.75
115042930473371901,COMUNE DI MANDELLO VITTA,NOVARA,PIEMONTE,NORD-OVEST,37162.0,40091.0,40761.0,47218.0,54788.43,34026.14,35289.75,47482.21
115142930468670302,COMUNE DI SANT'ANGELO D'ALIFE,CASERTA,CAMPANIA,SUD,249256.0,315435.0,259636.0,211198.0,171802.7,203315.9,211521.81,336940.51
115142930475433101,COMUNE DI PIMENTEL,SUD SARDEGNA,SARDEGNA,ISOLE,160641.0,134940.0,136800.0,120722.0,132010.09,113193.1,102054.38,159339.6
115242928210658501,COMUNE DI ALAGNA VALSESIA,VERCELLI,PIEMONTE,NORD-OVEST,117113.0,129076.0,108405.0,118017.0,90820.79,71774.59,95219.81,263800.92
115242930059291902,COMUNE DI GALLICCHIO,POTENZA,BASILICATA,SUD,398067.0,274324.0,249610.0,211214.0,218507.69,340627.86,320999.62,1798387.79
115242930541272802,COMUNE DI POZZOLEONE,VICENZA,VENETO,NORD-EST,150040.0,178814.0,150443.0,164098.0,142043.48,126286.16,0.0,191904.72
115242930543567601,COMUNE DI MONSELICE,PADOVA,VENETO,NORD-EST,1477817.0,1452093.0,1540186.0,1443668.0,1235369.25,1420061.27,1339304.19,1842174.69
115642930548436401,COMUNE DI SANT'ANTONIO ABATE,NAPOLI,CAMPANIA,SUD,1206958.0,1176063.0,1226910.0,1090411.0,1042713.24,1034190.24,1018658.67,1488951.01
115742928293162401,COMUNE DI ALA' DEI SARDI,SASSARI,SARDEGNA,ISOLE,224816.0,239496.0,219441.0,234137.0,278802.42,216939.87,228611.61,380958.13
