Feature,Dataset
ALTRI DEBITI,Attività e Passività
ATTIVIT· FINANZIARIE CHE NON COSTITUISCONO IMMOBILIZZI,Attività e Passività
CONFERIMENTI,Attività e Passività
CREDITI,Attività e Passività
DEBITI VERSO,Attività e Passività
DI FINANZIAMENTO,Attività e Passività
DI FUNZIONAMENTO,Attività e Passività
DISPONIBILIT· LIQUIDE,Attività e Passività
FINANZIARIE,Attività e Passività
IMMATERIALI,Attività e Passività
MATERIALI,Attività e Passività
PATRIMONIO NETTO,Attività e Passività
PER ANTICIPAZIONE DI CASSA,Attività e Passività
PER IVA,Attività e Passività
PER SOMME ANTICIPATE DA TERZI,Attività e Passività
RATEI E RISCONTI,Attività e Passività
RIMANENZE,Attività e Passività
VERSO IMPRESE,Attività e Passività
ACCANTONAMENTO PER SVALUTAZIONE CREDITI,Costi e Ricavi
ALTRI ONERI STRAORDINARI,Costi e Ricavi
ALTRO,Costi e Ricavi
COSTI DELLA GESTIONE,Costi e Ricavi
INSUSSISTENZE DEL PASSIVO,Costi e Ricavi
INSUSSISTENZE DELL'ATTIVO,Costi e Ricavi
INTERESSI SU CAPITALE DI DOTAZIONE,Costi e Ricavi
MINUSVALENZE PATRIMONIALI,Costi e Ricavi
ONERI DA AZIENDE SPECIALI E PARTECIPATE,Costi e Ricavi
ONERI FINANZIARI,Costi e Ricavi
ONERI STRAORDINARI,Costi e Ricavi
PLUSVALENZE PATRIMONIALI,Costi e Ricavi
PROVENTI DA AZIENDE SPECIALI E PARTECIPATE,Costi e Ricavi
PROVENTI DELLA GESTIONE,Costi e Ricavi
PROVENTI FINANZIARI,Costi e Ricavi
QUOTE DI AMMORTAMENTO D'ESERCIZIO,Costi e Ricavi
RISULTATO ECONOMICO DI ESERCIZIO,Costi e Ricavi
SOPRAVVENIENZE ATTIVE,Costi e Ricavi
TRASFERIMENTI AD AZIENDE SPECIALI E PARTECIPATE,Costi e Ricavi
UTILI,Costi e Ricavi
ADDIZIONALE COMUNALE SUL CONSUMO DI ENERGIA ELETTRICA,Entrate
ADDIZIONALE IRPEF,Entrate
ADDIZIONALE SUL CONSUMO DI ENERGIA ELETTRICA,Entrate
AGRICOLTURA,Entrate
AGRITURISMO,Entrate
ALIENAZIONE BENI IMMOBILI E DIRITTI REALI SU BENI IMMOBILI,Entrate
ALIENAZIONE BENI MOBILI E DIRITTI REALI SU BENI MOBILI,Entrate
ALIENAZIONE DI BENI PATRIMONIALI DIVERSI,Entrate
ALTRE ENTRATE DA CONTRIBUZIONE REGIONALE A SPECIFICA DESTINAZIONE PER FINANZIARE SPESE DI PERSONALE,Entrate
ALTRE IMPOSTE,Entrate
ALTRE TASSE,Entrate
ALTRI CONTRIBUTI,Entrate
ALTRI CONTRIBUTI E TRASFERIMENTI CORRENTI DA ALTRI ENTI DEL SETTORE PUBBLICO,Entrate
