pop_2008,pop_2009,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015
1887,1882,1892,1887,1871,1888,1904,1921
1801,1798,1808,1795,1806,1791,1810,1812
8949,9080,9131,9246,9360,9466,9520,9483
1678,1680,1657,1664,1666,1681,1679,1692
35013,35291,35700,36007,36226,36151,36176,36007
1030,1068,1089,1093,1098,1104,1086,1094
1174,1186,1183,1176,1155,1154,1143,1139
15530,15483,15457,15394,15397,15391,15484,15431
368,357,351,348,339,329,324,323
11891,11970,12006,12015,11992,11942,11956,11948
1594,1547,1517,1484,1468,1429,1381,1353
8291,8419,8424,8531,8572,8551,8549,8569
387,396,395,403,410,397,398,376
49308,49400,49634,49642,49645,49481,49407,49103
135,127,143,143,136,126,122,114
626,617,609,602,587,581,562,551
1841,1857,1917,1946,1998,2035,2023,2069
1089,1094,1090,1110,1101,1082,1087,1079
1740,1758,1758,1755,1745,1742,1713,1693
52741,52614,52449,52612,52893,52710,52743,52621
317,303,316,307,315,311,307,305
3057,3077,3035,3043,3038,3044,3046,3032
1022,1004,1016,1007,980,969,960,943
3653,3674,3718,3721,3663,3692,3700,3668
3249,3286,3302,3325,3357,3357,3338,3316
2343,2378,2367,2360,2330,2314,2298,2276
394,381,387,371,360,356,366,365
1137,1105,1088,1056,1058,1050,1038,1031
4720,4797,4820,4855,4837,4933,5002,5041
7165,7289,7414,7465,7564,7574,7643,7685
6176,6144,6211,6234,6256,6215,6170,6116
4151,4271,4321,4369,4384,4405,4497,4478
606,619,584,582,569,558,557,540
1259,1280,1288,1241,1214,1179,1177,1169
13226,13517,13544,13659,13724,13754,13757,13605
473,462,461,452,452,444,450,447
1712,1715,1740,1735,1744,1761,1749,1787
575,581,566,576,562,568,563,568
181,182,183,187,174,163,160,150
2185,2198,2190,2211,2211,2196,2135,2118
11258,11413,11415,11569,11802,11864,11912,11850
179,185,185,176,177,178,184,188
2947,2890,2811,2765,2723,2680,2698,2664
6863,6956,6960,6961,6955,6919,6899,6849
268,260,253,251,246,247,238,235
2398,2365,2334,2325,2289,2316,2277,2274
1183,1198,1202,1203,1194,1215,1200,1185
678,679,678,681,676,677,680,668
949,918,910,896,896,891,886,880
2730,2804,2797,2804,2777,2780,2788,2778
17438,17548,17493,17482,17520,17662,17654,17671
19280,19442,19579,19619,19661,19693,19656,19716
1947,1950,1965,1951,1963,1932,1894,1896
1329,1314,1312,1277,1290,1275,1250,1233
698,694,673,681,674,685,701,689
49603,49561,49734,49629,49560,49578,49802,49865
1223,1244,1254,1241,1237,1245,1234,1222
