Comune;N. Proc.;Anno;Procedimenti;Prov.;Regione;Abitanti
ACATE;1;2016 ;Diss.;RG;SICILIA;10954
ACERNO;1;2013 ;Rieq.;SA;CAMPANIA;2832
ACI CATENA;2;2019 ;Rieq.;CT;SICILIA;27868
ACI CATENA;;2023 ;Diss.;CT;SICILIA;27762
ACI SANT'ANTONIO;1;2013 ;Diss.;CT;SICILIA;17474
ACQUAFONDATA;1;1990 ;Diss.;FR;LAZIO;278
ACQUAFORMOSA;1;1989 ;Diss.;CS;CALABRIA;1380
ACQUAPPESA;3;1991 ;Diss.;CS;CALABRIA;2133
ACQUAPPESA;;2020 ;Rieq.;CS;CALABRIA;1765
ACQUAPPESA;;2021 ;Diss.;CS;CALABRIA;1726
ACQUARICA DEL CAPO;1;1989 ;Diss.;LE;PUGLIA;4689
ACQUARO;1;1991 ;Diss.;VV;CALABRIA;3293
ACQUEDOLCI;1;2018 ;Rieq.;ME;SICILIA;5663
ACRI;2;2014 ;Rieq.;CS;CALABRIA;21180
ACRI;;2016 ;Diss.;CS;CALABRIA;20858
ADRANO;1;2016 ;Rieq.;CT;SICILIA;36122
AFRAGOLA;1;2022 ;Diss.;NA;CAMPANIA;61712
AFRICO;1;1996 ;Diss.;RC;CALABRIA;3272
AGAZZANO;1;2022 ;Rieq.;PC;EMILIA ROMAGNA;1979
AIDONE;1;2020 ;Diss.;EN;SICILIA;4522
ALATRI;2;1991 ;Diss.;FR;LAZIO;25038
ALATRI;;2017 ;Rieq.;FR;LAZIO;28884
ALBIDONA;1;1994 ;Diss.;CS;CALABRIA;2012
ALBISOLA SUPERIORE;1;2021 ;Rieq.;SV;LIGURIA;9800
ALESSANDRIA;2;2012 ;Diss.;AL;PIEMONTE;89493
ALESSANDRIA;;2019 ;Rieq.;AL;PIEMONTE;93191
ALESSANDRIA DEL CARRETTO;1;1990 ;Diss.;CS;CALABRIA;952
ALEZIO;1;1989 ;Diss.;LE;PUGLIA;5140
ALI';1;1995 ;Diss.;ME;SICILIA;1047
ALIA;1;2021 ;Rieq.;PA;SICILIA;3314
ALIANO;1;1990 ;Diss.;MT;BASILICATA;1472
ALIFE;1;2017 ;Diss.;CE;CAMPANIA;7619
ALIMINUSA;1;2024 ;Diss.;PA;SICILIA;1019
ALLISTE;1;1993 ;Diss.;LE;PUGLIA;6230
ALTAVILLA SILENTINA;1;1992 ;Diss.;SA;CAMPANIA;6801
