Attivo_2008,Attivo_2009,Attivo_2010,Attivo_2011,Attivo_2012,Attivo_2013,Attivo_2014,Attivo_2015,Attivo_2016,Attivo_2017,Attivo_2018,Attivo_2019,Attivo_2020,Attivo_2021,Attivo_2022,Attivo_2023
32046613.4,32046613.4,32046613.4,32046613.4,32046613.4,32046613.4,32046613.4,32046613.4,32046613.4,32046613.4,32046613.4,32046613.4,32046613.4,33422708.18,36876702.82,38923972.06
14998209.0,16916276.0,17061385.0,17943332.0,17737813.25,17449614.78,15508179.22,14912080.400000002,12254659.000000002,9597237.600000001,6939816.200000001,4282394.8,17026407.61,17744357.61,17833662.58,17960627.96
25110751.0,25360799.0,26292773.0,26607697.0,26854014.34,26738521.36,26402714.490000002,25983881.509999998,26454369.04,27434362.91,28442621.68,28831690.18,29933705.54,31663533.03,33861525.41,33077276.71
18777618.0,19276390.0,20364550.0,19842048.0,20814596.650000002,21469573.84,21609723.85,21600820.950000003,22424116.830000002,23247412.71,24070708.59,25940982.29,26252293.26,27862943.25,28862357.91,29335104.46
57928672.0,43307037.0,100103431.0,103044170.0,85607132.81,102388917.28999999,96517062.99,93402503.03999999,87899139.04,90413243.28333333,92927347.52666667,95441451.77,108094557.59,115478251.18,109151842.43,123090982.02
1179201.0,1945423.0,2486632.0,3027841.0,3050859.0250000004,3073877.0500000003,2978548.4425000004,2883219.835,2787891.2275,2692562.62,4163717.94,3914159.34,4175516.12,3151541.08,3458257.76,3659824.2
28256668.0,27777562.0,37466888.0,36486124.0,35903067.15,35809219.16,39256488.09,35649308.19,30255159.284999996,24861010.38,19466861.475,14072712.57,14325309.85,13743430.8,13860191.0,13186195.7
46233745.0,46919967.0,49720100.0,52189927.0,51136008.39,54227623.010000005,60426011.2,59802147.39999999,50585974.43,55789111.81,54062053.63,55119649.56,49946827.56,56410473.1,59127826.36,59794523.52
4804976.0,4574316.0,4731660.0,4731234.0,4656665.98,4724510.03,4678964.04,4611838.51,4736494.17,4861149.83,5095821.47,5799947.43,6087600.46,6512759.67,6986179.38,7501169.5
43872164.0,46075568.0,50001347.0,51464147.0,54787350.879999995,54294819.42,54159179.269999996,53916902.35,58028404.01,58893380.37,59758356.73,59282944.67,64132333.3,65374329.19,70576739.9,75058006.29
7220958.0,7611005.0,8132867.0,7979506.0,7960165.64,7915686.03,7759637.93,8152232.03,8652013.116666667,9151794.203333333,9651575.29,10345092.41,11524002.2,11932434.03,13119151.15,13274000.77
21668327.0,19903052.0,19583754.0,19293259.0,20417071.599999998,20584410.06,19144092.0,18489904.99,17873823.81,18564581.86,19033235.45,18465941.38,19808503.96,21204454.37,24017739.9,26705742.99
17120463.0,15137063.0,14843292.0,16931687.0,16866079.97,16796683.22,19396167.04,16994779.98,17149786.225,17304792.47,17459798.715,17614804.96,15458679.68,15556634.97,17606529.4,18431002.0
166490469.0,148365309.0,154523387.0,121173355.0,118179899.99000001,133403517.83999999,116963048.69,112605532.42,110797175.92,108988819.42,115497035.25,122624523.36,137007819.97,150763061.89,150791362.72,175996249.38
3263911.0,4105390.0,4283526.0,5834007.0,5492963.51,4604160.16,5478854.74,5562907.28,5103185.7325,4643464.1850000005,4183742.6375,3724021.09,4554926.49,5273743.67,4768233.46,5228493.52
10730221.0,11981423.0,33147885.0,33893603.0,34112773.23,35940526.46999999,35578996.769999996,36016564.49999999,35741402.74999999,35466241.0,35191079.25,34915917.5,34629444.25,34279003.91,36360123.08,37475523.55
11339551.0,12301889.0,11898718.0,11834797.0,13019223.899999999,13085081.34,13074373.549999999,11979782.57,15907999.25,19836215.93,23764432.61,27692649.29,11525101.97,12928926.92,14095677.57,15168118.03
10672104.0,9013980.0,9731814.0,10046337.0,11159844.559999999,11585443.4,11918151.01,11651660.760000002,11949773.762500001,12247886.765,12545999.7675,12844112.77,13859339.41,13942258.63,14653613.75,14793269.02
12696861.0,12251274.0,12221457.0,12275296.0,11984836.379999999,11413161.920000002,11231085.129999999,11088052.34,10991090.3925,10894128.445,10797166.4975,10700204.55,10857615.38,11433818.61,12548850.41,18881466.68
217165439.0,217496491.0,218024518.0,229316820.0,235843505.32999998,241186479.68,242163626.35000002,234004772.57999998,221954031.26,231120931.74,225951950.36,217680319.22,194150510.8,218470601.17,249679348.73,332215808.28
9198865.0,9119677.0,9715475.0,10781603.0,11270010.2,11858852.29,12169146.209999999,12338832.6,12430068.57,12521304.54,12612540.51,13170775.53,13843107.52,14460798.02,15542106.34,16948944.57
