BDAP,Comune,Provincia,Regione,Zona
124642930519923801,COMUNE DI MEL,BELLUNO,VENETO,NORD-EST
127842930460324202,COMUNE DI SAN GERMANO DEI BERICI,VICENZA,VENETO,NORD-EST
133742930478370301,COMUNE DI SASSOCORVARO,PESARO E URBINO,MARCHE,CENTRO
151342930470279901,COMUNE DI REVO',TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
161142930457044301,COMUNE DI RIO MARINA,LIVORNO,TOSCANA,CENTRO
163842930473885401,COMUNE DI MOSSANO,VICENZA,VENETO,NORD-EST
171342930533742201,COMUNE DI PIEVE DI CORIANO,MANTOVA,LOMBARDIA,NORD-OVEST
171742930509698501,COMUNE DI CRESPANO DEL GRAPPA,TREVISO,VENETO,NORD-EST
174242930528061702,COMUNE DI SAN FEDELE INTELVI,COMO,LOMBARDIA,NORD-OVEST
177042930518361502,COMUNE DI BARDELLO,VARESE,LOMBARDIA,NORD-OVEST
186342930471584202,COMUNE DI MEGLIADINO SAN FIDENZIO,PADOVA,VENETO,NORD-EST
187742930550585902,COMUNE DI TONENGO,ASTI,PIEMONTE,NORD-OVEST
191142930542239702,COMUNE DI PECCO,TORINO,PIEMONTE,NORD-OVEST
197442930462452901,COMUNE DI VILLA VICENTINA,UDINE,FRIULI-VENEZIA GIULIA,NORD-EST
201942930550338001,COMUNE DI SPEZZANO PICCOLO,COSENZA,CALABRIA,SUD
203642930455059302,COMUNE DI SALTARA,PESARO E URBINO,MARCHE,CENTRO
216742930464117801,COMUNE DI ALBAREDO ARNABOLDI,PAVIA,LOMBARDIA,NORD-OVEST
223442930534981601,COMUNE DI CAGNO,COMO,LOMBARDIA,NORD-OVEST
228342928258242001,COMUNE DI CASTELLAR,CUNEO,PIEMONTE,NORD-OVEST
228942930525967102,COMUNE DI QUAREGNA,BIELLA,PIEMONTE,NORD-OVEST
239142930462610001,COMUNE DI BARCHI,PESARO E URBINO,MARCHE,CENTRO
241842930455979002,COMUNE DI RO,FERRARA,EMILIA-ROMAGNA,NORD-EST
245442930461316602,COMUNE DI CELLIO,VERCELLI,PIEMONTE,NORD-OVEST
