BDAP,Comune,Provincia,Regione,Zona
114355015368532901,COMUNE DI PIEVE DEL GRAPPA,TREVISO,VENETO,NORD-EST
116648880677178601,COMUNE DI VAL LIONA,VICENZA,VENETO,NORD-EST
122045812911672801,COMUNE DI VAL DI ZOLDO,BELLUNO,VENETO,NORD-EST
123554722991895701,COMUNE DI VALLE CANNOBINA,VERBANO-CUSIO-OSSOLA,PIEMONTE,NORD-OVEST
128142930476689301,COMUNE DI FISCAGLIA,FERRARA,EMILIA-ROMAGNA,NORD-EST
128345468365056201,COMUNE DI PORTE DI RENDENA,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
156262204287214901,COMUNE DI MISILISCEMI,TRAPANI,SICILIA,ISOLE
161542930538077901,COMUNE DI CAMPOLONGO TAPOGLIANO,UDINE,FRIULI-VENEZIA GIULIA,NORD-EST
167845466831642801,COMUNE DI BORGO LARES,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
182151801532061501,COMUNE DI FIUMICELLO VILLA VICENTINA,UDINE,FRIULI-VENEZIA GIULIA,NORD-EST
194248407031787801,COMUNE DI ABETONE CUTIGLIANO,PISTOIA,TOSCANA,CENTRO
197057806247391902,COMUNE DI BORGO D'ANAUNIA,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
205942930475398501,COMUNE DI TRECASTELLI,ANCONA,MARCHE,CENTRO
217854644207674302,COMUNE DI TERRE D'ADIGE,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
233951560217528701,COMUNE DI BORGO MANTOVANO,MANTOVA,LOMBARDIA,NORD-OVEST
236554765494023202,COMUNE DI PIADENA DRIZZONA,CREMONA,LOMBARDIA,NORD-OVEST
247545466531968801,COMUNE DI MADRUZZO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
254645468725414901,COMUNE DI VENTASSO,REGGIO NELL'EMILIA,EMILIA-ROMAGNA,NORD-EST
266654705626599401,COMUNE DI GATTICO-VERUNO,NOVARA,PIEMONTE,NORD-OVEST
272342930545774401,COMUNE DI CRESPINA LORENZANA,PISA,TOSCANA,CENTRO
277655231070330002,COMUNE DI VERMEZZO CON ZELO,MILANO,LOMBARDIA,NORD-OVEST
278142930474671401,COMUNE DI MACCAGNO CON PINO E VEDDASCA,VARESE,LOMBARDIA,NORD-OVEST
286145466854081901,COMUNE DI TRE VILLE,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
287349797586375001,COMUNE DI CASALI DEL MANCO,COSENZA,CALABRIA,SUD
295145466960496401,COMUNE DI CONTA',TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
296757806247365301,COMUNE DI NOVELLA,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
309655136288186001,COMUNE DI COLCERESA,VICENZA,VENETO,NORD-EST
316070618098231801,COMUNE DI SETTEVILLE,BELLUNO,VENETO,NORD-EST
319742930528322801,COMUNE DI BORGO VIRGILIO,MANTOVA,LOMBARDIA,NORD-OVEST
331448406803467401,COMUNE DI SAN MARCELLO PITEGLIO,PISTOIA,TOSCANA,CENTRO
335851611372340801,COMUNE DI CENTRO VALLE INTELVI,COMO,LOMBARDIA,NORD-OVEST
336251514914559001,COMUNE DI ALTO SERMENZA,VERCELLI,PIEMONTE,NORD-OVEST
337554644207811601,COMUNE DI SORBOLO MEZZANI,PARMA,EMILIA-ROMAGNA,NORD-EST
338548412800923001,COMUNE DI TERRE ROVERESCHE,PESARO E URBINO,MARCHE,CENTRO
348551845807499101,COMUNE DI TREPPO LIGOSULLO,UDINE,FRIULI-VENEZIA GIULIA,NORD-EST
366142930475385001,COMUNE DI SCARPERIA E SAN PIERO,FIRENZE,TOSCANA,CENTRO
379851560626867701,COMUNE DI CELLIO CON BREIA,VERCELLI,PIEMONTE,NORD-OVEST
381245466764726701,COMUNE DI PIEVE DI BONO-PREZZO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
384148455417316101,COMUNE DI ALTA VALLE INTELVI,COMO,LOMBARDIA,NORD-OVEST
391342930468686502,COMUNE DI LEDRO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
391948415593907101,COMUNE DI COLLI AL METAURO,PESARO E URBINO,MARCHE,CENTRO
407554705833656001,COMUNE DI BARBERINO TAVARNELLE,FIRENZE,TOSCANA,CENTRO
417945467044768701,COMUNE DI PRIMIERO SAN MARTINO DI CASTROZZA,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
423342930545616402,COMUNE DI SILLANO GIUNCUGNANO,LUCCA,TOSCANA,CENTRO
423742930544441202,COMUNE DI FABBRICHE DI VERGEMOLI,LUCCA,TOSCANA,CENTRO
426551990112501601,COMUNE DI BARBARANO MOSSANO,VICENZA,VENETO,NORD-EST
431645468444272601,COMUNE DI ALTAVALLE,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
434545467006860901,COMUNE DI DIMARO FOLGARIDA,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
439642930475678301,COMUNE DI VALSAMOGGIA,BOLOGNA,EMILIA-ROMAGNA,NORD-EST
447742930545648402,COMUNE DI VALDAONE,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
448455196713873301,COMUNE DI LU E CUCCARO MONFERRATO,ALESSANDRIA,PIEMONTE,NORD-OVEST
452845466741851701,COMUNE DI VILLE D'ANAUNIA,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
453442930544141302,COMUNE DI RIVIGNANO TEOR,UDINE,FRIULI-VENEZIA GIULIA,NORD-EST
453845812820948901,COMUNE DI ALPAGO,BELLUNO,VENETO,NORD-EST
464848406418469501,COMUNE DI MONTALCINO,SIENA,TOSCANA,CENTRO
467051560389326801,COMUNE DI RIO,LIVORNO,TOSCANA,CENTRO
475154705755811301,COMUNE DI COLLI VERDI,PAVIA,LOMBARDIA,NORD-OVEST
488252042353229101,COMUNE DI BORGO VENETO,PADOVA,VENETO,NORD-EST
504654705673614501,COMUNE DI BORGOCARBONARA,MANTOVA,LOMBARDIA,NORD-OVEST
506551396115394201,COMUNE DI MAPPANO,TORINO,PIEMONTE,NORD-OVEST
514745466481320801,COMUNE DI CASTEL IVANO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
516570661507899801,COMUNE DI SANTA CATERINA D'ESTE,PADOVA,VENETO,NORD-EST
525851629382026601,COMUNE DI CASTELGERUNDO,LODI,LOMBARDIA,NORD-OVEST
534054705437622501,COMUNE DI TRESIGNANA,FERRARA,EMILIA-ROMAGNA,NORD-EST
541751559372421201,COMUNE DI SAN GIOVANNI DI FASSA-SEN JAN,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
551645466790908701,COMUNE DI POLESINE ZIBELLO,PARMA,EMILIA-ROMAGNA,NORD-EST
552054807633050901,COMUNE DI VALCHIUSA,TORINO,PIEMONTE,NORD-OVEST
553745468843876401,COMUNE DI MONTESCUDO - MONTE COLOMBO,RIMINI,EMILIA-ROMAGNA,NORD-EST
572151560685703101,COMUNE DI CASSANO SPINOLA,ALESSANDRIA,PIEMONTE,NORD-OVEST
594067386616828201,COMUNE DI BARDELLO CON MALGESSO E BREGANO,VARESE,LOMBARDIA,NORD-OVEST
615954705799833601,COMUNE DI VALDILANA,BIELLA,PIEMONTE,NORD-OVEST
616845468334707001,COMUNE DI SELLA GIUDICARIE,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
624657806247336302,COMUNE DI VILLE DI FIEMME,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
654842930480480002,COMUNE DI COMANO TERME,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
664742930449897402,COMUNE DI POGGIO TORRIANA,RIMINI,EMILIA-ROMAGNA,NORD-EST
665245691391390801,COMUNE DI CORTEOLONA E GENZONE,PAVIA,LOMBARDIA,NORD-OVEST
694651560657737101,COMUNE DI ALLUVIONI PIOVERA,ALESSANDRIA,PIEMONTE,NORD-OVEST
703242930475651601,COMUNE DI CASTELFRANCO PIANDISCO',AREZZO,TOSCANA,CENTRO
713242930546807102,COMUNE DI VALLEFOGLIA,PESARO E URBINO,MARCHE,CENTRO
716642930545294801,COMUNE DI LONGARONE,BELLUNO,VENETO,NORD-EST
745654946638622001,COMUNE DI BORGO VALBELLUNA,BELLUNO,VENETO,NORD-EST
751145399957290901,COMUNE DI AMBLAR-DON,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
753155231070232101,COMUNE DI CADREZZATE CON OSMATE,VARESE,LOMBARDIA,NORD-OVEST
754854705545839801,COMUNE DI QUAREGNA CERRETO,BIELLA,PIEMONTE,NORD-OVEST
771642928716143701,COMUNE DI CORNALE E BASTIDA,PAVIA,LOMBARDIA,NORD-OVEST
785448490321051001,COMUNE DI TERRE DEL RENO,FERRARA,EMILIA-ROMAGNA,NORD-EST
795445466935990601,COMUNE DI CEMBRA LISIGNAGO,TRENTO,TRENTINO-ALTO ADIGE/SÜDTIROL,NORD-EST
797952388296734501,COMUNE DI CORIGLIANO-ROSSANO,COSENZA,CALABRIA,SUD
804245468278624701,COMUNE DI ALTO RENO TERME,BOLOGNA,EMILIA-ROMAGNA,NORD-EST
809470652463945201,COMUNE DI SOVIZZO,VICENZA,VENETO,NORD-EST
809654705720727801,COMUNE DI SOLBIATE CON CAGNO,COMO,LOMBARDIA,NORD-OVEST
819054705356971301,COMUNE DI RIVA DEL PO,FERRARA,EMILIA-ROMAGNA,NORD-EST
826142930476548502,COMUNE DI PRATOVECCHIO STIA,AREZZO,TOSCANA,CENTRO
826751559962535501,COMUNE DI MONTALTO CARPASIO,IMPERIA,LIGURIA,NORD-OVEST
