BDAP,NORD-EST,ISOLE,NORD-OVEST,SUD,CENTRO
111142930451558302,1,0,0,0,0
111142930456078402,0,1,0,0,0
111142930549694901,1,0,0,0,0
111242928159168602,1,0,0,0,0
111342928035516202,0,1,0,0,0
111442929417157902,0,0,1,0,0
111642930521380602,0,0,0,1,0
111742930520228201,0,0,0,1,0
111742930546032201,0,0,1,0,0
111842930472913601,1,0,0,0,0
111942930075789802,1,0,0,0,0
111942930475464201,0,0,1,0,0
112242929589459502,0,0,0,1,0
112442930475351402,0,0,0,1,0
112442930547500901,0,0,0,1,0
112542930549591602,0,0,0,1,0
112642930518447902,0,0,1,0,0
112642930527384301,0,1,0,0,0
112942930456488402,0,0,0,0,1
112942930511152602,0,0,0,1,0
112942930520095401,0,0,1,0,0
112942930526084102,0,0,1,0,0
112942930546542602,0,0,0,1,0
113042930446652901,0,0,1,0,0
113042930459198201,1,0,0,0,0
113242929494046101,0,0,0,1,0
113242929989809401,0,0,0,1,0
113242930525412901,0,0,0,1,0
113342930540408502,0,0,1,0,0
113442928800667002,0,0,1,0,0
113642930452986502,1,0,0,0,0
113742928592687902,0,0,1,0,0
113842930528713802,0,0,0,1,0
113942930453012402,0,0,0,1,0
113942930543093902,1,0,0,0,0
114042930544217902,0,0,1,0,0
114242930474451702,0,0,1,0,0
114342930531636602,0,0,1,0,0
114442930473232502,0,0,1,0,0
114542930460128001,0,0,0,1,0
114642930550556102,0,1,0,0,0
114742930453726801,0,0,1,0,0
114742930536446301,0,0,0,1,0
114842930517178501,0,0,0,0,1
115042930473371901,0,0,1,0,0
115142930468670302,0,0,0,1,0
115142930475433101,0,1,0,0,0
115242928210658501,0,0,1,0,0
115242930059291902,0,0,0,1,0
115242930541272802,1,0,0,0,0
115242930543567601,1,0,0,0,0
115642930548436401,0,0,0,1,0
115742928293162401,0,1,0,0,0
115742930529898402,0,0,1,0,0
116142930549453302,0,0,0,1,0
116242928577698301,0,0,1,0,0
116242930137942201,0,0,1,0,0
116242930508328601,1,0,0,0,0
116342930537140702,1,0,0,0,0
116442929000220902,1,0,0,0,0
116442930516457902,0,0,0,1,0
116542930525090302,1,0,0,0,0
116542930529336002,0,0,0,1,0
116642930529136802,0,0,1,0,0
116642930539090401,0,0,0,1,0
116742928739525602,0,0,1,0,0
116742930532472902,0,0,0,0,1
116742930546334201,0,0,1,0,0
116842930454465301,0,1,0,0,0
117042930453153601,1,0,0,0,0
117042930548083602,0,0,0,1,0
117142930529346502,0,0,1,0,0
117242930542099701,0,0,1,0,0
117442930538907902,0,0,0,1,0
117642930521238202,0,0,0,1,0
117742930508207301,0,0,0,1,0
117742930530612302,0,0,0,1,0
117842930473510401,0,1,0,0,0
118242930535103802,0,1,0,0,0
118742929012963801,0,1,0,0,0
118742929424205701,0,0,1,0,0
118742930461810902,0,0,1,0,0
118742930524063701,0,0,0,1,0
118742930527891202,0,0,1,0,0
118742930530890402,0,0,0,1,0
118742930533556102,0,0,1,0,0
118742930534065002,0,0,0,1,0
118842930455593301,0,1,0,0,0
119042929528989701,0,0,1,0,0
119142930531415701,1,0,0,0,0
119242930463926601,1,0,0,0,0
119442930526684402,1,0,0,0,0
119542930473450501,0,0,1,0,0
119642930460902801,0,0,0,1,0
